Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.471878051758,0.00643366625335,11,15794,7,1488,18050
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.471878051758,2.03586905384,12,3082,0,334,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realTraffic/speed_6005.csv,0.471878051758,0.182622001756,5,1880,6,234,2500
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.471878051758,0.0,0,3428,0,0,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.471878051758,2.3531658278,4,13512,2,1583,15851
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realTraffic/speed_7578.csv,0.471878051758,2.87451910587,22,835,7,94,1127
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.471878051758,-4.99,0,922,9,126,1243
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.471878051758,-1.33746084958,9,3013,10,396,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.471878051758,0.866579947572,40,13525,6,1545,15866
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.471878051758,-0.795506780547,20,3018,5,385,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.471878051758,-1.12445964397,12,3455,8,453,4621
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.471878051758,-2.0,0,3025,0,403,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.471878051758,2.5797447286,9,13511,9,1579,15858
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.471878051758,0.0,0,3428,0,0,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.471878051758,0.812788767566,1,3024,1,402,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.471878051758,1.1673227264,9,3020,6,393,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.471878051758,-2.6086203373,7,13498,3,1573,15831
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.471878051758,0.588794763187,2,3021,4,401,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,artificialNoAnomaly/art_noisy.csv,0.471878051758,0.0,0,3428,0,0,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.471878051758,2.29199106427,14,13573,4,1512,15853
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.471878051758,-0.33,0,3425,3,0,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.471878051758,0.752161591569,2,1154,1,151,1538
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.471878051758,-0.585211853476,2,3011,14,401,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.471878051758,1.29336336745,13,1865,11,236,2500
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAdExchange/exchange-2_cpm_results.csv,0.471878051758,-1.13587834698,2,1219,0,160,1624
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.471878051758,-2.04704820874,2,3025,1,400,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.471878051758,1.10380671448,5,3541,6,469,4730
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.471878051758,0.0,0,3428,0,0,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.471878051758,1.72310160415,3,3026,0,399,4032
