Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.487548828125,1.32594039639,9,3021,5,393,4032
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.487548828125,2.47591230931,6,1154,1,147,1538
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.487548828125,0.68014658893,15,3443,20,450,4621
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,0.487548828125,0.0548594734868,9,1228,5,155,1643
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realTraffic/speed_6005.csv,0.487548828125,0.182622001756,6,1880,6,233,2500
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.487548828125,2.47083457334,17,13510,10,1571,15858
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.487548828125,-2.41356633375,13,15772,29,1486,18050
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.487548828125,0.0,0,3428,0,0,4032
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.487548828125,1.72310160415,6,3026,0,396,4032
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.487548828125,-0.354799416121,15,13532,21,1575,15893
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.487548828125,0.756821148581,4,3022,3,399,4032
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.487548828125,-2.91084613714,9,13495,6,1571,15831
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.487548828125,-2.62575982814,1,4025,10,529,5315
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.487548828125,1.75140505099,19,1870,1,231,2495
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.487548828125,1.39137570748,6,13498,3,1576,15833
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.487548828125,1.21294485265,15,1864,12,234,2500
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.487548828125,1.4585242336,18,5788,3,708,7267
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.487548828125,0.812788767566,1,3024,1,402,4032
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.487548828125,0.861272490375,2,1784,0,237,2380
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,artificialNoAnomaly/art_noisy.csv,0.487548828125,0.0,0,3428,0,0,4032
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.487548828125,-0.0244790426273,7,3539,9,466,4730
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.487548828125,0.86067182427,6,3025,0,397,4032
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.487548828125,0.0,0,3428,0,0,4032
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.487548828125,-2.04704834091,2,3025,1,400,4032
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.487548828125,1.72310160415,3,3026,0,399,4032
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.487548828125,2.03586905384,14,3082,0,332,4032
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.487548828125,-0.695211853476,2,3010,15,401,4032
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realTraffic/speed_7578.csv,0.487548828125,2.85574522202,24,834,8,92,1127
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.487548828125,0.823562266871,12,3083,2,331,4032
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.487548828125,0.993806714479,7,3540,7,467,4730
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.487548828125,-1.56497352619,5,8534,1,1030,10320
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.487548828125,2.44762101196,20,13552,12,1568,15902
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.487548828125,2.18366907804,17,13572,5,1509,15853
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.487548828125,1.72310160415,13,3026,0,389,4032
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.487548828125,0.0,0,3428,0,0,4032
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.487548828125,0.094866491091,5,1614,7,212,2162
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.487548828125,0.86067182427,21,3025,0,382,4032
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,0.487548828125,-2.22,0,3023,2,403,4032
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.487548828125,0.0,0,3428,0,0,4032
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.487548828125,0.875727409493,6,3025,0,397,4032
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.487548828125,-0.276424440498,8,13559,0,1585,15902
comportexDepth1GlobalFrac16Stim18,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.487548828125,-2.19740023262,1,1407,3,189,1882
