Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
comportexDepth1GlobalFrac16Stim18,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,0.7,1.65594039639,6,3024,2,396,4032
comportexDepth1GlobalFrac16Stim18,standard,realAdExchange/exchange-3_cpc_results.csv,0.7,2.44684340313,4,1154,1,149,1538
comportexDepth1GlobalFrac16Stim18,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.7,1.55920712527,11,3451,12,454,4621
comportexDepth1GlobalFrac16Stim18,standard,realAdExchange/exchange-4_cpm_results.csv,0.7,1.38471036268,8,1231,2,156,1643
comportexDepth1GlobalFrac16Stim18,standard,realTraffic/speed_6005.csv,0.7,0.512622001756,4,1883,3,235,2500
comportexDepth1GlobalFrac16Stim18,standard,realTweets/Twitter_volume_PFE.csv,0.7,3.23158873201,8,13517,3,1580,15858
comportexDepth1GlobalFrac16Stim18,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.7,0.446433666253,7,15798,3,1492,18050
comportexDepth1GlobalFrac16Stim18,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.7,0.0,0,3428,0,0,4032
comportexDepth1GlobalFrac16Stim18,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.7,1.72310160415,6,3026,0,396,4032
comportexDepth1GlobalFrac16Stim18,standard,realTweets/Twitter_volume_IBM.csv,0.7,0.810365363849,14,13544,9,1576,15893
comportexDepth1GlobalFrac16Stim18,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.7,0.814465557881,2,3024,1,401,4032
comportexDepth1GlobalFrac16Stim18,standard,realTweets/Twitter_volume_AMZN.csv,0.7,-0.828619332863,8,13496,5,1572,15831
comportexDepth1GlobalFrac16Stim18,standard,realKnownCause/rogue_agent_key_updown.csv,0.7,-2.99935236673,0,4025,10,530,5315
comportexDepth1GlobalFrac16Stim18,standard,realTraffic/speed_t4013.csv,0.7,1.76169778813,14,1871,0,236,2495
comportexDepth1GlobalFrac16Stim18,standard,realTweets/Twitter_volume_FB.csv,0.7,1.72137570748,5,13501,0,1577,15833
comportexDepth1GlobalFrac16Stim18,standard,realTraffic/TravelTime_387.csv,0.7,1.27132170043,9,1865,11,240,2500
comportexDepth1GlobalFrac16Stim18,standard,realKnownCause/ambient_temperature_system_failure.csv,0.7,1.56850458337,10,5789,2,716,7267
comportexDepth1GlobalFrac16Stim18,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.7,-1.0478830567,0,3024,1,403,4032
comportexDepth1GlobalFrac16Stim18,standard,realTraffic/occupancy_6005.csv,0.7,0.861272490375,1,1784,0,238,2380
comportexDepth1GlobalFrac16Stim18,standard,artificialNoAnomaly/art_noisy.csv,0.7,0.0,0,3428,0,0,4032
comportexDepth1GlobalFrac16Stim18,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.7,0.511804976615,5,3544,4,468,4730
comportexDepth1GlobalFrac16Stim18,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.7,0.86067182427,6,3025,0,397,4032
comportexDepth1GlobalFrac16Stim18,standard,artificialNoAnomaly/art_flatline.csv,0.7,0.0,0,3428,0,0,4032
comportexDepth1GlobalFrac16Stim18,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.7,-2.0,0,3026,0,402,4032
comportexDepth1GlobalFrac16Stim18,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.7,-0.138449197924,2,3026,0,400,4032
comportexDepth1GlobalFrac16Stim18,standard,realKnownCause/ec2_request_latency_system_failure.csv,0.7,2.02150685678,11,3082,0,335,4032
comportexDepth1GlobalFrac16Stim18,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.7,-0.04117875721,1,3018,7,402,4032
comportexDepth1GlobalFrac16Stim18,standard,realTraffic/speed_7578.csv,0.7,2.91423869025,20,835,7,96,1127
comportexDepth1GlobalFrac16Stim18,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.7,0.933562266871,11,3084,1,332,4032
comportexDepth1GlobalFrac16Stim18,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.7,1.21380671448,5,3542,5,469,4730
comportexDepth1GlobalFrac16Stim18,standard,realKnownCause/nyc_taxi.csv,0.7,0.545026473814,5,8535,0,1030,10320
comportexDepth1GlobalFrac16Stim18,standard,realTweets/Twitter_volume_AAPL.csv,0.7,0.938541804865,15,13556,8,1573,15902
comportexDepth1GlobalFrac16Stim18,standard,realTweets/Twitter_volume_CVS.csv,0.7,2.40199106427,13,13574,3,1513,15853
comportexDepth1GlobalFrac16Stim18,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.7,1.72310160415,8,3026,0,394,4032
comportexDepth1GlobalFrac16Stim18,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.7,0.0,0,3428,0,0,4032
comportexDepth1GlobalFrac16Stim18,standard,realTraffic/TravelTime_451.csv,0.7,0.531583539196,3,1618,3,214,2162
comportexDepth1GlobalFrac16Stim18,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.7,0.86067182427,14,3025,0,389,4032
comportexDepth1GlobalFrac16Stim18,standard,artificialWithAnomaly/art_daily_nojump.csv,0.7,-1.11,0,3024,1,403,4032
comportexDepth1GlobalFrac16Stim18,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.7,0.0,0,3428,0,0,4032
comportexDepth1GlobalFrac16Stim18,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.7,0.875727409493,6,3025,0,397,4032
comportexDepth1GlobalFrac16Stim18,standard,realTweets/Twitter_volume_CRM.csv,0.7,0.723575559502,8,13559,0,1585,15902
comportexDepth1GlobalFrac16Stim18,standard,realKnownCause/rogue_agent_key_hold.csv,0.7,-2.33,0,1407,3,190,1882
comportexDepth1GlobalFrac16Stim18,standard,realAdExchange/exchange-3_cpm_results.csv,0.7,0.862098587352,2,1155,0,151,1538
comportexDepth1GlobalFrac16Stim18,standard,realTweets/Twitter_volume_KO.csv,0.7,2.46182263331,5,13513,1,1582,15851
comportexDepth1GlobalFrac16Stim18,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.7,-2.88,0,923,8,126,1243
comportexDepth1GlobalFrac16Stim18,standard,realAdExchange/exchange-2_cpc_results.csv,0.7,-1.0,0,1218,0,163,1624
comportexDepth1GlobalFrac16Stim18,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.7,0.0,0,3428,0,0,4032
comportexDepth1GlobalFrac16Stim18,standard,realAdExchange/exchange-2_cpm_results.csv,0.7,-0.135878346979,1,1219,0,161,1624
comportexDepth1GlobalFrac16Stim18,standard,realTweets/Twitter_volume_UPS.csv,0.7,1.79193201653,28,13527,4,1557,15866
comportexDepth1GlobalFrac16Stim18,standard,realKnownCause/machine_temperature_system_failure.csv,0.7,-0.24548321031,18,19677,0,2250,22695
comportexDepth1GlobalFrac16Stim18,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.7,0.515854832355,10,3020,3,395,4032
comportexDepth1GlobalFrac16Stim18,standard,realTraffic/occupancy_t4013.csv,0.7,1.7360251845,13,1875,0,237,2500
comportexDepth1GlobalFrac16Stim18,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.7,0.86067182427,2,3025,0,401,4032
comportexDepth1GlobalFrac16Stim18,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.7,-1.0,0,3025,0,403,4032
comportexDepth1GlobalFrac16Stim18,standard,realAdExchange/exchange-4_cpc_results.csv,0.7,0.622260693585,5,1231,1,160,1643
comportexDepth1GlobalFrac16Stim18,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.7,1.72310160415,8,3026,0,394,4032
comportexDepth1GlobalFrac16Stim18,standard,realTweets/Twitter_volume_GOOG.csv,0.7,-0.0603199978378,13,13658,2,1419,15842
comportexDepth1GlobalFrac16Stim18,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.7,0.212294974403,5,3018,5,400,4032
Totals,,,,33.7941591759,360,299216,131,33135,365558
